herb_id	gene	COG_id	COG_evalue	COG_description
110	TRINITY_DN8786_c0_g2_i10	gi|158337782|ref|YP_001518958.1|	2.70E-106	gi|158337782|ref|YP_001518958.1| cytochrome b6 [Acaryochloris marina MBIC11017]
110	TRINITY_DN20996_c0_g2_i1	gi|383762367|ref|YP_005441349.1|	2.00E-41	gi|383762367|ref|YP_005441349.1| hypothetical protein CLDAP_14120 [Caldilinea aerophila DSM 14535 = NBRC 104270]
110	TRINITY_DN14779_c0_g1_i3	gi|300709392|ref|YP_003735206.1|	1.60E-71	gi|300709392|ref|YP_003735206.1| DEAD/DEAH box helicase domain-containing protein [Halalkalicoccus jeotgali B3]
110	TRINITY_DN2429_c0_g2_i8	gi|434392862|ref|YP_007127809.1|	7.30E-56	gi|434392862|ref|YP_007127809.1| protein of unknown function DUF490 [Gloeocapsa sp. PCC 7428]
110	TRINITY_DN2429_c0_g2_i8	gi|434392862|ref|YP_007127809.1|	7.30E-56	gi|434392862|ref|YP_007127809.1| protein of unknown function DUF490 [Gloeocapsa sp. PCC 7428]
110	TRINITY_DN2456_c0_g1_i6	gi|307546460|ref|YP_003898939.1|	6.20E-16	"gi|307546460|ref|YP_003898939.1| peptidase, insulinase family [Halomonas elongata DSM 2581]"
110	TRINITY_DN4393_c0_g1_i1	gi|255038325|ref|YP_003088946.1|	1.70E-15	gi|255038325|ref|YP_003088946.1| Non-specific serine/threonine protein kinase [Dyadobacter fermentans DSM 18053]
110	TRINITY_DN4393_c0_g1_i1	gi|255038325|ref|YP_003088946.1|	1.70E-15	gi|255038325|ref|YP_003088946.1| Non-specific serine/threonine protein kinase [Dyadobacter fermentans DSM 18053]
110	TRINITY_DN1129_c0_g1_i8	gi|470183145|ref|YP_007569020.1|	8.10E-66	"gi|470183145|ref|YP_007569020.1| DNA helicase, SNF2/RAD54 family domain protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]"
110	TRINITY_DN107_c1_g3_i2	gi|428217852|ref|YP_007102317.1|	1.00E-182	gi|428217852|ref|YP_007102317.1| NADH dehydrogenase subunit D [Pseudanabaena sp. PCC 7367]
110	TRINITY_DN15711_c0_g3_i2	gi|428224650|ref|YP_007108747.1|	1.50E-72	gi|428224650|ref|YP_007108747.1| NADH dehydrogenase subunit N [Geitlerinema sp. PCC 7407]
110	TRINITY_DN15711_c0_g3_i2	gi|428224650|ref|YP_007108747.1|	2.60E-45	gi|428224650|ref|YP_007108747.1| NADH dehydrogenase subunit N [Geitlerinema sp. PCC 7407]
110	TRINITY_DN1636_c0_g1_i2	gi|37520686|ref|NP_924063.1|	2.30E-147	gi|37520686|ref|NP_924063.1| 6-phosphogluconate dehydrogenase [Gloeobacter violaceus PCC 7421]
110	TRINITY_DN262_c0_g1_i13	gi|158336013|ref|YP_001517187.1|	3.40E-31	gi|158336013|ref|YP_001517187.1| ABC transporter ATP-binding protein [Acaryochloris marina MBIC11017]
110	TRINITY_DN10572_c0_g1_i8	gi|209966177|ref|YP_002299092.1|	6.10E-133	gi|209966177|ref|YP_002299092.1| translation initiation factor 2 InfB [Rhodospirillum centenum SW]
110	TRINITY_DN3562_c0_g1_i3	gi|262195025|ref|YP_003266234.1|	1.20E-11	gi|262195025|ref|YP_003266234.1| SNF2-like protein [Haliangium ochraceum DSM 14365]
110	TRINITY_DN1780_c0_g1_i7	gi|118576719|ref|YP_876462.1|	3.60E-29	gi|118576719|ref|YP_876462.1| RNase PH [Cenarchaeum symbiosum A]
110	TRINITY_DN1425_c0_g1_i4	gi|488774861|ref|YP_007944277.1|	1.30E-23	gi|488774861|ref|YP_007944277.1| phosphoenolpyruvate synthase/pyruvate phosphate dikinase [Desulfotomaculum gibsoniae DSM 7213]
110	TRINITY_DN1425_c0_g1_i4	gi|488774861|ref|YP_007944277.1|	1.60E-23	gi|488774861|ref|YP_007944277.1| phosphoenolpyruvate synthase/pyruvate phosphate dikinase [Desulfotomaculum gibsoniae DSM 7213]
110	TRINITY_DN17928_c0_g1_i9	gi|294495331|ref|YP_003541824.1|	3.40E-21	gi|294495331|ref|YP_003541824.1| methyltransferase [Methanohalophilus mahii DSM 5219]
110	TRINITY_DN6287_c0_g2_i4	gi|51892329|ref|YP_075020.1|	3.30E-69	gi|51892329|ref|YP_075020.1| biotin carboxylase [Symbiobacterium thermophilum IAM 14863]
110	TRINITY_DN11310_c0_g1_i11	gi|379728138|ref|YP_005320334.1|	3.80E-65	"gi|379728138|ref|YP_005320334.1| saccharopine dehydrogenase (nadp(+), l-glutamate-forming) [Saprospira grandis str. Lewin]"
110	TRINITY_DN9413_c0_g3_i6	gi|374287483|ref|YP_005034568.1|	1.60E-281	gi|374287483|ref|YP_005034568.1| isoleucyl-tRNA synthetase [Bacteriovorax marinus SJ]
110	TRINITY_DN4855_c0_g1_i4	gi|414561937|ref|NP_717262.2|	3.50E-63	gi|414561937|ref|NP_717262.2| helicase/SNF2 family domain protein [Shewanella oneidensis MR-1]
110	TRINITY_DN13350_c0_g1_i7	gi|295134992|ref|YP_003585668.1|	2.10E-23	gi|295134992|ref|YP_003585668.1| glutamine synthetase [Zunongwangia profunda SM-A87]
110	TRINITY_DN936_c0_g1_i9	gi|158335992|ref|YP_001517166.1|	6.10E-44	gi|158335992|ref|YP_001517166.1| Rieske (2Fe-2S) domain-containing protein [Acaryochloris marina MBIC11017]
110	TRINITY_DN7788_c0_g1_i1	gi|32473828|ref|NP_866822.1|	0.00E+00	gi|32473828|ref|NP_866822.1| glutamate synthase [NADPH] large chain [Rhodopirellula baltica SH 1]
110	TRINITY_DN14399_c0_g1_i8	gi|410663596|ref|YP_006915967.1|	3.60E-12	gi|410663596|ref|YP_006915967.1| PASTA sensor-containing serine/threonine protein kinase [Simiduia agarivorans SA1 = DSM 21679]
110	TRINITY_DN32289_c0_g3_i13	gi|160896332|ref|YP_001561914.1|	3.10E-16	gi|160896332|ref|YP_001561914.1| nuclear protein SET [Delftia acidovorans SPH-1]
110	TRINITY_DN32289_c0_g3_i13	gi|160896332|ref|YP_001561914.1|	3.10E-16	gi|160896332|ref|YP_001561914.1| nuclear protein SET [Delftia acidovorans SPH-1]
110	TRINITY_DN1938_c0_g2_i5	gi|479139169|ref|YP_007770601.1|	5.10E-11	gi|479139169|ref|YP_007770601.1| deoxyuridine 5'-triphosphate nucleotidohydrolase [Coprococcus catus GD/7]
110	TRINITY_DN3792_c0_g1_i3	gi|310823284|ref|YP_003955642.1|	1.60E-60	gi|310823284|ref|YP_003955642.1| snf2/helicase domain-containing protein [Stigmatella aurantiaca DW4/3-1]
110	TRINITY_DN9015_c0_g1_i8	gi|294495847|ref|YP_003542340.1|	4.40E-31	"gi|294495847|ref|YP_003542340.1| bis(5'nucleosyl)-tetraphosphatase, ApaH [Methanohalophilus mahii DSM 5219]"
110	TRINITY_DN252_c0_g1_i1	gi|292493899|ref|YP_003529338.1|	2.60E-116	gi|292493899|ref|YP_003529338.1| sucrose-phosphate synthase [Nitrosococcus halophilus Nc 4]
110	TRINITY_DN252_c0_g1_i1	gi|292493899|ref|YP_003529338.1|	2.20E-115	gi|292493899|ref|YP_003529338.1| sucrose-phosphate synthase [Nitrosococcus halophilus Nc 4]
110	TRINITY_DN3792_c0_g2_i3	gi|310823284|ref|YP_003955642.1|	1.60E-62	gi|310823284|ref|YP_003955642.1| snf2/helicase domain-containing protein [Stigmatella aurantiaca DW4/3-1]
110	TRINITY_DN3957_c0_g2_i7	gi|428205652|ref|YP_007090005.1|	5.10E-56	gi|428205652|ref|YP_007090005.1| NADH:flavin oxidoreductase [Chroococcidiopsis thermalis PCC 7203]
110	TRINITY_DN3957_c0_g2_i7	gi|428205652|ref|YP_007090005.1|	1.50E-55	gi|428205652|ref|YP_007090005.1| NADH:flavin oxidoreductase [Chroococcidiopsis thermalis PCC 7203]
110	TRINITY_DN7711_c0_g1_i1	gi|332980995|ref|YP_004462436.1|	8.80E-93	gi|332980995|ref|YP_004462436.1| SNF2-like protein [Mahella australiensis 50-1 BON]
110	TRINITY_DN5536_c0_g1_i2	gi|313125087|ref|YP_004035351.1|	5.20E-69	gi|313125087|ref|YP_004035351.1| superfamily ii helicase [Halogeometricum borinquense DSM 11551]
110	TRINITY_DN24547_c0_g1_i2	gi|154244114|ref|YP_001415072.1|	3.80E-258	gi|154244114|ref|YP_001415072.1| 2-oxoglutarate dehydrogenase E1 component [Xanthobacter autotrophicus Py2]
110	TRINITY_DN41539_c0_g1_i19	gi|206901091|ref|YP_002250691.1|	2.30E-61	gi|206901091|ref|YP_002250691.1| GTP pyrophosphokinase (ATP:GTP 3'-pyrophosphotransferase)(ppGpp synthetase I) ((P)ppGpp synthetase) [Dictyoglomus thermophilum H-6-12]
110	TRINITY_DN41539_c0_g1_i19	gi|206901091|ref|YP_002250691.1|	3.80E-32	gi|206901091|ref|YP_002250691.1| GTP pyrophosphokinase (ATP:GTP 3'-pyrophosphotransferase)(ppGpp synthetase I) ((P)ppGpp synthetase) [Dictyoglomus thermophilum H-6-12]
110	TRINITY_DN41539_c0_g1_i19	gi|206901091|ref|YP_002250691.1|	3.00E-29	gi|206901091|ref|YP_002250691.1| GTP pyrophosphokinase (ATP:GTP 3'-pyrophosphotransferase)(ppGpp synthetase I) ((P)ppGpp synthetase) [Dictyoglomus thermophilum H-6-12]
110	TRINITY_DN3352_c0_g1_i3	gi|209694797|ref|YP_002262725.1|	2.90E-16	gi|209694797|ref|YP_002262725.1| chaperone protein DnaJ [Aliivibrio salmonicida LFI1238]
110	TRINITY_DN6674_c0_g1_i1	gi|269792590|ref|YP_003317494.1|	7.60E-17	gi|269792590|ref|YP_003317494.1| DNA-(apurinic or apyrimidinic site) lyase [Thermanaerovibrio acidaminovorans DSM 6589]
110	TRINITY_DN8477_c0_g2_i4	gi|392410292|ref|YP_006446899.1|	1.40E-55	gi|392410292|ref|YP_006446899.1| natural resistance-associated macrophage protein metal ion transporter NRAMP [Desulfomonile tiedjei DSM 6799]
110	TRINITY_DN8477_c0_g2_i4	gi|392410292|ref|YP_006446899.1|	3.50E-22	gi|392410292|ref|YP_006446899.1| natural resistance-associated macrophage protein metal ion transporter NRAMP [Desulfomonile tiedjei DSM 6799]
110	TRINITY_DN9584_c0_g1_i7	gi|433653951|ref|YP_007297659.1|	2.80E-56	"gi|433653951|ref|YP_007297659.1| DNA/RNA helicase, superfamily II, SNF2 family [Thermoanaerobacterium thermosaccharolyticum M0795]"
110	TRINITY_DN1572_c1_g1_i3	gi|428305511|ref|YP_007142336.1|	1.40E-212	gi|428305511|ref|YP_007142336.1| ATP synthase F1 subcomplex subunit alpha [Crinalium epipsammum PCC 9333]
