gene	kegg_id	kegg_evalue	kegg_description
TRINITY_DN8786_c0_g2_i10	mtr:MTR_4g051370	0.0e+00	mtr:MTR_4g051370 Photosystem II CP47 chlorophyll apoprotein; K02704 photosystem II CP47 chlorophyll apoprotein
TRINITY_DN8786_c0_g2_i10	mtr:MTR_4g051370	1.5e-86	mtr:MTR_4g051370 Photosystem II CP47 chlorophyll apoprotein; K02704 photosystem II CP47 chlorophyll apoprotein
TRINITY_DN2198_c0_g1_i1	mus:103993721	0.0e+00	mus:103993721 auxin transport protein BIG; K10691 E3 ubiquitin-protein ligase UBR4 [EC:2.3.2.27]
TRINITY_DN20996_c0_g2_i1	bvg:104902770	3.1e-40	bvg:104902770 uncharacterized LOC104902770; K17592 sacsin
TRINITY_DN14779_c0_g1_i3	mus:103996050	0.0e+00	mus:103996050 activating signal cointegrator 1 complex subunit 3; K18663 activating signal cointegrator complex subunit 3 [EC:3.6.4.12]
TRINITY_DN16351_c0_g1_i2	mus:103990760	0.0e+00	mus:103990760 phosphatidylinositol 4-kinase alpha 1; K00888 phosphatidylinositol 4-kinase [EC:2.7.1.67]
TRINITY_DN5066_c0_g1_i6	mus:103985570	0.0e+00	mus:103985570 transformation/transcription domain-associated protein-like; K08874 transformation/transcription domain-associated protein
TRINITY_DN6410_c0_g1_i2	mus:103970388	0.0e+00	mus:103970388 CCR4-NOT transcription complex subunit 1 isoform X1; K12604 CCR4-NOT transcription complex subunit 1
TRINITY_DN775_c0_g1_i2	mus:103968470	0.0e+00	mus:103968470 E3 ubiquitin-protein ligase UPL1-like isoform X1; K10592 E3 ubiquitin-protein ligase HUWE1 [EC:2.3.2.26]
TRINITY_DN2087_c0_g1_i11	smo:SELMODRAFT_448049	2.2e-81	smo:SELMODRAFT_448049 hypothetical protein; K18953 factor associated with neutral sphingomyelinase activation
TRINITY_DN2766_c0_g1_i1	mus:103997175	0.0e+00	mus:103997175 uncharacterized protein LOC103997175 isoform X1; K19525 vacuolar protein sorting-associated protein 13A/C
TRINITY_DN2009_c0_g1_i2	cvr:CHLNCDRAFT_135020	5.5e-74	cvr:CHLNCDRAFT_135020 hypothetical protein; K18953 factor associated with neutral sphingomyelinase activation
TRINITY_DN2456_c0_g1_i6	mus:103975260	2.6e-185	mus:103975260 zinc-metallopeptidase, peroxisomal-like isoform X1; K01408 insulysin [EC:3.4.24.56]
TRINITY_DN21610_c0_g1_i1	mus:103982909	0.0e+00	mus:103982909 sacsin; K17592 sacsin
TRINITY_DN4393_c0_g1_i1	mus:103977787	0.0e+00	mus:103977787 E3 ubiquitin-protein ligase SHPRH isoform X1; K15710 E3 ubiquitin-protein ligase SHPRH [EC:3.6.4.- 2.3.2.27]
TRINITY_DN4393_c0_g1_i1	mus:103977787	1.5e-206	mus:103977787 E3 ubiquitin-protein ligase SHPRH isoform X1; K15710 E3 ubiquitin-protein ligase SHPRH [EC:3.6.4.- 2.3.2.27]
TRINITY_DN4393_c0_g1_i1	mus:103977787	1.5e-206	mus:103977787 E3 ubiquitin-protein ligase SHPRH isoform X1; K15710 E3 ubiquitin-protein ligase SHPRH [EC:3.6.4.- 2.3.2.27]
TRINITY_DN1129_c0_g1_i8	pda:103696185	0.0e+00	pda:103696185 chromatin structure-remodeling complex protein SYD-like; K11786 ATP-dependent helicase STH1/SNF2 [EC:3.6.4.-]
TRINITY_DN1978_c0_g1_i13	pop:POPTR_0017s055102	2.1e-67	pop:POPTR_0017s055102 hypothetical protein; K12831 splicing factor 3B subunit 4
TRINITY_DN10943_c0_g1_i1	mus:103980751	0.0e+00	mus:103980751 E3 ubiquitin-protein ligase UPL1-like isoform X1; K10592 E3 ubiquitin-protein ligase HUWE1 [EC:2.3.2.26]
TRINITY_DN107_c1_g3_i2	pda:8890611	2.4e-225	pda:8890611 ndhH, PhdaC_p081; NADH-plastoquinone oxidoreductase 49 kDa subunit; K05579 NAD(P)H-quinone oxidoreductase subunit H [EC:1.6.5.3]
TRINITY_DN1198_c0_g1_i9	osa:4349111	5.2e-15	osa:4349111 Os10g0515200; K00517 
TRINITY_DN15711_c0_g3_i2	mtr:MTR_3g035660	2.7e-141	mtr:MTR_3g035660 NAD(P)H-quinone oxidoreductase subunit 2 A; K02992 small subunit ribosomal protein S7
TRINITY_DN15711_c0_g3_i2	mtr:MTR_3g035660	6.1e-133	mtr:MTR_3g035660 NAD(P)H-quinone oxidoreductase subunit 2 A; K02992 small subunit ribosomal protein S7
TRINITY_DN15711_c0_g3_i2	mtr:MTR_3g035660	9.3e-65	mtr:MTR_3g035660 NAD(P)H-quinone oxidoreductase subunit 2 A; K02992 small subunit ribosomal protein S7
TRINITY_DN15711_c0_g3_i2	mtr:MTR_3g035660	1.5e-46	mtr:MTR_3g035660 NAD(P)H-quinone oxidoreductase subunit 2 A; K02992 small subunit ribosomal protein S7
TRINITY_DN4300_c0_g1_i13	mus:104000418	0.0e+00	mus:104000418 clustered mitochondria protein isoform X1; K03255 protein TIF31
TRINITY_DN4498_c0_g1_i2	mus:103994598	0.0e+00	mus:103994598 uncharacterized protein LOC103994598 isoform X1; K19525 vacuolar protein sorting-associated protein 13A/C
TRINITY_DN1636_c0_g1_i2	mus:103979039	0.0e+00	mus:103979039 uncharacterized protein LOC103979039 isoform X1; K14861 nucleolar pre-ribosomal-associated protein 1
TRINITY_DN0_c0_g1_i4	mus:103972804	0.0e+00	mus:103972804 uncharacterized protein LOC103972804 isoform X1; K18730 PERQ amino acid-rich with GYF domain-containing protein
TRINITY_DN0_c0_g1_i4	mus:103972804	6.7e-291	mus:103972804 uncharacterized protein LOC103972804 isoform X1; K18730 PERQ amino acid-rich with GYF domain-containing protein
TRINITY_DN0_c0_g1_i4	mus:103972804	1.7e-31	mus:103972804 uncharacterized protein LOC103972804 isoform X1; K18730 PERQ amino acid-rich with GYF domain-containing protein
TRINITY_DN6099_c0_g2_i1	smo:SELMODRAFT_448049	1.5e-80	smo:SELMODRAFT_448049 hypothetical protein; K18953 factor associated with neutral sphingomyelinase activation
TRINITY_DN3635_c0_g1_i1	pxb:103938046	4.7e-87	pxb:103938046 E3 ubiquitin-protein ligase MARCH2-like; K10656 E3 ubiquitin-protein ligase MARCH1/8 [EC:2.3.2.27]
TRINITY_DN3635_c0_g1_i1	pxb:103938046	1.7e-65	pxb:103938046 E3 ubiquitin-protein ligase MARCH2-like; K10656 E3 ubiquitin-protein ligase MARCH1/8 [EC:2.3.2.27]
