gene	kog_id	kog_evalue	kog_description
TRINITY_DN8786_c0_g2_i10	AtCh048	4.4e-240	AtCh048
TRINITY_DN2198_c0_g1_i1	At3g02260	0.0e+00	At3g02260
TRINITY_DN20996_c0_g2_i1	At4g13750	0.0e+00	At4g13750
TRINITY_DN14779_c0_g1_i3	At5g61140	0.0e+00	At5g61140
TRINITY_DN3263_c0_g1_i7	At4g31570	4.2e-81	At4g31570
TRINITY_DN3263_c0_g1_i7	At4g31570	7.1e-81	At4g31570
TRINITY_DN2429_c0_g2_i8	At2g25660	0.0e+00	At2g25660
TRINITY_DN16351_c0_g1_i2	At1g49340	0.0e+00	At1g49340
TRINITY_DN5066_c0_g1_i6	At2g17930	0.0e+00	At2g17930
TRINITY_DN6410_c0_g1_i2	At1g02080	0.0e+00	At1g02080
TRINITY_DN775_c0_g1_i2	At1g70320	0.0e+00	At1g70320
TRINITY_DN2087_c0_g1_i11	At1g58240	0.0e+00	At1g58240
TRINITY_DN2766_c0_g1_i1	At1g48090	0.0e+00	At1g48090
TRINITY_DN2766_c0_g1_i1	At1g48090	4.2e-260	At1g48090
TRINITY_DN2009_c0_g1_i2	At1g03060_1	0.0e+00	At1g03060_1
TRINITY_DN2456_c0_g1_i6	At2g41790	2.6e-137	At2g41790
TRINITY_DN21610_c0_g1_i1	At5g23110	0.0e+00	At5g23110
TRINITY_DN4393_c0_g1_i1	At2g40770	1.4e-289	At2g40770
TRINITY_DN4393_c0_g1_i1	At2g40770	3.4e-131	At2g40770
TRINITY_DN4393_c0_g1_i1	At2g40770	3.4e-131	At2g40770
TRINITY_DN1129_c0_g1_i8	At2g28290	0.0e+00	At2g28290
TRINITY_DN1978_c0_g1_i13	At2g43410	8.4e-130	At2g43410
TRINITY_DN1978_c0_g1_i13	At2g43410	1.1e-12	At2g43410
TRINITY_DN1978_c0_g1_i13	At2g43410	2.5e-12	At2g43410
TRINITY_DN10943_c0_g1_i1	At1g70320	0.0e+00	At1g70320
TRINITY_DN2326_c0_g1_i2	At3g48050	1.6e-144	At3g48050
TRINITY_DN2326_c0_g1_i2	At3g48050	5.0e-143	At3g48050
TRINITY_DN4590_c0_g1_i3	At4g38440	4.5e-277	At4g38440
TRINITY_DN30040_c0_g1_i11	At2g48050	0.0e+00	At2g48050
TRINITY_DN107_c1_g3_i2	AtCh081	0.0e+00	AtCh081
TRINITY_DN1198_c0_g1_i9	At1g64790	0.0e+00	At1g64790
TRINITY_DN15711_c0_g3_i2	AtCh065	1.0e-196	AtCh065
TRINITY_DN4300_c0_g1_i13	At1g15290	4.3e-232	At1g15290
TRINITY_DN4498_c0_g1_i2	At4g17120	0.0e+00	At4g17120
TRINITY_DN5761_c0_g1_i2	At3g50600	4.6e-271	At3g50600
TRINITY_DN5761_c0_g1_i2	At3g50600	4.6e-271	At3g50600
TRINITY_DN1636_c0_g1_i2	At4g27010	0.0e+00	At4g27010
TRINITY_DN0_c0_g1_i4	At1g27430	2.4e-91	At1g27430
TRINITY_DN0_c0_g1_i4	At1g27430	3.6e-39	At1g27430
TRINITY_DN0_c0_g1_i4	At1g27430	2.6e-05	At1g27430
TRINITY_DN6099_c0_g2_i1	At2g45540	0.0e+00	At2g45540
TRINITY_DN3635_c0_g1_i1	At1g50440	3.4e-82	At1g50440
TRINITY_DN3635_c0_g1_i1	At1g50440	4.4e-61	At1g50440
TRINITY_DN3635_c0_g1_i1	At1g50440	7.5e-13	At1g50440
TRINITY_DN262_c0_g1_i13	At1g15520	0.0e+00	At1g15520
TRINITY_DN2326_c0_g1_i4	At3g48050	6.8e-141	At3g48050
TRINITY_DN13921_c0_g1_i7	At5g24710	0.0e+00	At5g24710
TRINITY_DN10382_c0_g1_i8	At1g58250	0.0e+00	At1g58250
TRINITY_DN10403_c0_g1_i1	At4g39450	0.0e+00	At4g39450
TRINITY_DN3559_c1_g1_i7	At4g00060	2.2e-176	At4g00060
TRINITY_DN10572_c0_g1_i8	At4g11160	4.3e-225	At4g11160
TRINITY_DN3562_c0_g1_i3	7293795	1.2e-62	7293795
TRINITY_DN5023_c0_g3_i2	At1g69360	6.0e-30	At1g69360
TRINITY_DN5023_c0_g3_i2	At1g69360	2.3e-29	At1g69360
