gene	pfam_id	pfam_evalue	pfam_description
TRINITY_DN8786_c0_g2_i10	K3Z2V7_SETIT/1-470	2.5e-222	K3Z2V7_SETIT/1-470 K3Z2V7.1 PF00421.18;PSII;
TRINITY_DN2198_c0_g1_i1	M0S171_MUSAM/3077-3978	0.0e+00	M0S171_MUSAM/3077-3978 M0S171.1 PF13764.5;E3_UbLigase_R4;
TRINITY_DN20996_c0_g2_i1	M0RPW0_MUSAM/2405-2495	1.2e-31	M0RPW0_MUSAM/2405-2495 M0RPW0.1 PF13020.5;DUF3883;
TRINITY_DN14779_c0_g1_i3	M0TUC1_MUSAM/940-1247	9.6e-158	M0TUC1_MUSAM/940-1247 M0TUC1.1 PF02889.15;Sec63;
TRINITY_DN2429_c0_g2_i8	M0TZ34_MUSAM/815-1223	2.4e-193	M0TZ34_MUSAM/815-1223 M0TZ34.1 PF04357.12;TamB;
TRINITY_DN2429_c0_g2_i8	M0TZ34_MUSAM/815-1223	2.4e-193	M0TZ34_MUSAM/815-1223 M0TZ34.1 PF04357.12;TamB;
TRINITY_DN16351_c0_g1_i2	A0A0Q3MY94_SETIT/997-1207	7.4e-107	A0A0Q3MY94_SETIT/997-1207 A0A0Q3MY94.1 PF00454.26;PI3_PI4_kinase;
TRINITY_DN5066_c0_g1_i6	M0T0J7_MUSAM/2777-3118	1.2e-175	M0T0J7_MUSAM/2777-3118 M0T0J7.1 PF02259.22;FAT;
TRINITY_DN6410_c0_g1_i2	M0RPC5_MUSAM/2048-2421	2.0e-175	M0RPC5_MUSAM/2048-2421 M0RPC5.1 PF04054.14;Not1;
TRINITY_DN6410_c0_g1_i2	M0RPC5_MUSAM/2048-2421	2.0e-175	M0RPC5_MUSAM/2048-2421 M0RPC5.1 PF04054.14;Not1;
TRINITY_DN775_c0_g1_i2	A0A061F5N2_THECC/3461-3773	4.8e-169	A0A061F5N2_THECC/3461-3773 A0A061F5N2.1 PF00632.24;HECT;
TRINITY_DN2087_c0_g1_i11	U5CYZ8_AMBTC/2594-2871	1.5e-151	U5CYZ8_AMBTC/2594-2871 U5CYZ8.1 PF02138.17;Beach;
TRINITY_DN2766_c0_g1_i1	M0TYA7_MUSAM/595-908	1.1e-119	M0TYA7_MUSAM/595-908 M0TYA7.1 PF06650.11;SHR-BD;
TRINITY_DN2766_c0_g1_i1	M0TYA7_MUSAM/595-908	2.3e-11	M0TYA7_MUSAM/595-908 M0TYA7.1 PF06650.11;SHR-BD;
TRINITY_DN2009_c0_g1_i2	I1PFD6_ORYGL/2969-3248	1.4e-154	I1PFD6_ORYGL/2969-3248 I1PFD6.1 PF02138.17;Beach;
TRINITY_DN2456_c0_g1_i6	M0S8X1_MUSAM/452-640	1.9e-82	M0S8X1_MUSAM/452-640 M0S8X1.1 PF05193.20;Peptidase_M16_C;
TRINITY_DN21610_c0_g1_i1	F6HF47_VITVI/4600-4644	2.4e-13	F6HF47_VITVI/4600-4644 F6HF47.1 PF13920.5;zf-C3HC4_3;
TRINITY_DN4393_c0_g1_i1	M0SD96_MUSAM/1-405	6.1e-192	M0SD96_MUSAM/1-405 M0SD96.1 PF00176.22;SNF2_N;
TRINITY_DN4393_c0_g1_i1	M0SD96_MUSAM/1-405	6.1e-192	M0SD96_MUSAM/1-405 M0SD96.1 PF00176.22;SNF2_N;
TRINITY_DN1129_c0_g1_i8	A0A022S4L5_ERYGU/612-1005	1.0e-186	A0A022S4L5_ERYGU/612-1005 A0A022S4L5.1 PF00176.22;SNF2_N;
